ID	title	content
422	Straw to attend Auschwitz service	" Foreign Secretary Jack Straw will visit Auschwitz for the 60th anniversary of the former Nazi concentration camp's liberation, it has been announced.  Prince Edward will also join the UK delegation in Poland for National Holocaust Memorial Day on 27 January. Between 1.1 and 1.5 million people, mainly Jews, were killed at Auschwitz. The Tories said they were glad Mr Straw had been ""shamed"" into going, having earlier criticised the decision to send a lower-ranking official. Shadow Foreign Secretary Michael Ancram said: ""I am glad the foreign secretary has finally been shamed into representing Britain at this important act of commemoration. ""Once again this government has shown crass insensitivity until it has been forced by public opinion into doing what it should have done in the first place.""  In Britain, the Queen and Prince Philip will lead the nation's commemoration at a service in Westminster Hall, London. The Queen will also host a reception for holocaust survivors at St James's Palace. Altogether, some six million people, mainly Jews, perished in the Holocaust. The Queen's grandson, Prince Harry, sparked outrage earlier this week after photographs of him wearing a Nazi uniform at a costume party emerged. The prince, 20, apologised, but critics have called for him to go to Auschwitz for the commemoration of the Soviets' 1945 liberation of the camp. Prince Harry should see for himself ""the results of the hated symbol he so foolishly and brazenly chose to wear"", Rabbi Marvin Hier, founder of Jewish human rights group the Simon Wiesenthal Center said. "
423	Concern over RFID tags	" Consumers are very concerned about the use of radio frequency ID (RFID) tags in shops, a survey says.  More than half of 2,000 people surveyed said they had privacy worries about the tags, which can be used to monitor stock on shelves or in warehouses. Some consumer groups have expressed concern that the tags could be used to monitor shoppers once they had left shops with their purchases. The survey showed that awareness of tags among consumers in Europe was low. The survey of consumers in the UK, France, Germany and the Netherlands was carried out by consultancy group Capgemini. The firm works on behalf of more than 30 firms who are seeking to promote the growth of RFID technology. The tags are a combination of computer chip and antenna which can be read by a scanner - each item contains a unique identification number.  More than half (55%) of the respondents said they were either concerned or very concerned that RFID tags would allow businesses to track consumers via product purchases. Fifty nine percent of people said they were worried that RFID tags would allow data to be used more freely by third parties. Ard Jan Vetham, Capgemini's principal consultant on RFID, said the survey showed that retailers needed to inform and educate people about RFID before it would become accepted technology. ""Acceptance of new technologies always has a tipping point at which consumers believe that benefits outweigh concerns. ""With the right RFID approach and ongoing communication with consumers, the industry can reach this point."" He said that the survey also showed people would accept RFID if they felt that the technology could mean a reduction in car theft or faster recovery of stolen items. The tags are currently being used at one Tesco distribution centre in the UK - the tags allow the rapid inventory of bulk items. They are also in use as a passcard for the M6 Toll in the Midlands, in the UK. Mr Vetham said the majority of people surveyed (52%) believed that RFID tags could be read from a distance. He said that was a misconception based on a lack of awareness of the technology. At least once consumer group - Consumers Against Supermarket Privacy Invasion and Numbering (Caspian) - has claimed that RFID chips could be used to secretly identify people and the things they are carrying or wearing. All kinds of personal belongings, including clothes, could constantly broadcast messages about their whereabouts and their owners, it warned. "
424	House prices show slight increase	" Prices of homes in the UK rose a seasonally adjusted 0.5% in February, says the Nationwide building society.  The figure means the annual rate of increase in the UK is down to 10.2%, the lowest rate since June 2001. The annual rate has halved since August last year, as interest rises have cooled the housing market. At the same time, the number of mortgage approvals fell in January to a near 10-year low, official Bank of England figures have shown.  Nationwide said that in January house prices went up by 0.4% on the month and by 12.6% on a year earlier. ""We are not seeing the market collapsing in the way some had feared,"" said Nationwide economist Alex Bannister. There have been a number of warnings that the UK housing market may be heading for a downturn after four years of strong growth to 2004. In November, Barclays, which owns former building society the Woolwich, forecast an 8% fall in property prices in 2005, followed by further declines in 2006 and 2007. And last summer, economists at PricewaterhouseCoopers (PWC) warned house prices were overvalued and could fall by between 10% and 15% by 2009.  The price of an average UK property now stands at £152,879. Homeowners now expect house prices to rise by 1% over the next six months, Mr Bannister said. He said if the growth continued at this level then the Bank of England may increase interest rates from their current 4.75%.  ""I think the key is what the Bank expects to happen to the housing market. We always thought we would see a small rise, they thought they would see a small decline."" House prices have risen 0.9% this year, Nationwide said, and if this pace of increase persists, prices would rise by just under 6% in the year to December. This is slightly above the 0-5% range Nationwide predicts.  Further evidence of a slowdown in the housing market emerged from Bank of England lending figures released on Tuesday. New mortgage loans in January fell to 79,000 from 82,000 in December, the bank said. The past few months have seen approvals fall to levels last seen in 1995. The Bank revealed that 48,000 fewer mortgages were approved in January than for the same month in 2004. Overall, mortgage lending rose by £7.2bn in January, marginally up on the £7.1bn rise in December. "
425	GM, Ford cut output as sales fall	" US car firms General Motors (GM) and Ford have been forced to cut production in the face of falling car sales.  US sales at GM sank 12.7% in February compared to a year ago while Ford sales dropped 3% as foreign rivals took a bigger share of the market. Meanwhile, Asian carmakers fared well - Toyota sales jumped 11% while rival Nissan notched up a 10% increase. Overall. sales across the industry also fell to 1.25 million vehicles from 1.27 million a year earlier.  GM and Ford blamed high fuel prices for low sales of big trucks and gas-guzzling sports utility vehicles (SUVs) - the vehicles that provide the biggest profits.  GM added that US truck sales fell 9% in February while car business tumbled 17%, however it did acknowledge that some new products - such as the Pontiac G6 and Chevrolet Cobalt - had put in solid performances. ""The calendar year is starting off slower than expected, both for GM and the industry,"" said Mark LaNeve, GM's vice president for North American sales, service and marketing. The slump in sales prompted the group to cut production in North America by 3% - it has already reduced output by around 9% in the face of growing stockpiles. Meanwhile, Ford which posted its ninth consecutive drop in monthly US sales, said it was cutting first-quarter North American production by another 10,000 vehicles, or 1.2%. Chrysler, the US unit of Germany's DaimlerChrysler, was the only Detroit based automaker to boast an increase in market share during the month - with sales rising 8%.  But America's loss was its foreign rivals' gain as they continued to nibble away at the US market. While Japan's top car maker Toyota and Nissan saw sales accelerate, even the smaller Suzuki Motor Corp snapped up a more business with sales improving 17.6% on a year ago. In 2003, the firm launched an ambitious plan to triple US sales by 2007 as it seeks to become a bigger player in the Asian assault on the US market. Korea's Hyundai was another big gainer, turning in a 19% surge in February sales. Toyota put its rise in sales down to strong results for its redesigned Avalon sedan and a 120% surge in sales of its gas-electric Prius hybrid mid-size sedan as petrol-price conscious consumers looked to vehicles that were cheaper to run. ""As gas prices continue their upward march, fuel efficiency catches the public eye,"" Jim Press, vice president and chief operating officer of Toyota's US sales arm, said in a statement. "
426	Speak easy plan for media players	" Music and film fans will be able to control their digital media players just by speaking to them, under plans in development by two US firms.  ScanSoft and Gracenote are developing technology to give people access to their film and music libraries simply by voice control. They want to give people hands-free access to digital music and films in the car, or at home or on the move. Huge media libraries on some players can make finding single songs hard. ""Voice command-and-control unlocks the potential of devices that can store large digital music collections,"" said Ross Blanchard, vice president of business development for Gracenote. ""These applications will radically change the car entertainment experience, allowing drivers to enjoy their entire music collections without ever taking their hands off the steering wheel,"" he added.  Gracenote provides music library information for millions of different albums for jukeboxes such as Apple's iTunes. The new technology will be designed so that people can play any individual song or movie out of a collection, just by saying its name. Users will also be able to request music that fits a mood or an occasion, or a film just by saying the actor's name. ""Speech is a natural fit for today's consumer devices, particularly in mobile environments,"" said Alan Schwartz, vice president of SpeechWorks, a division of ScanSoft. ""Pairing our voice technologies with Gracenote's vast music database will bring the benefits of speech technologies to a host of consumer devices and enable people to access their media in ways they've never imagined."" The two firms did not say if they were developing the technology for languages other than English. Users will also be able to get more information on a favourite song they have been listening to by asking: ""What is this?"" Portable players are becoming popular in cars and a number of auto firms are working with Apple to device interfaces to control the firm's iPod music player. But with tens of thousands of songs able to be stored on one player, voice control would make finding that elusive track by Elvis Presley much easier. The firms gave no indication about whether the iPod, or any other media player, were in mind for the use of the voice control technology. The companies estimate that the technology will be available in the fourth quarter of 2005. "
427	Lacroix label bought by US firm	 Luxury goods group LVMH has sold its loss-making Christian Lacroix clothing label to a US investment group.  The Paris-based firm has been shedding non-core businesses and focusing on its most profitable brands including Moet & Chandon champagne and Louis Vuitton. LVMH said the French designer's haute couture and ready-to-wear labels had been purchased by the Falic Group for an unspecified sum. The Falic Group bought two cosmetics labels from LVMH in 2003. The sale of the Lacroix label comes as many fashion houses are struggling to make money from their expensive haute couture ranges. The Florida-based Falic group, which also runs a chain of 90 duty free stores in the US, said it planned to expand the brand by opening new stores. Mr Lacroix said he planned to stay at the label he founded in 1987 although exact details are still to be confirmed. 
428	Sport betting rules in spotlight	" A group of MPs and peers has called for a tightening of regulations controlling betting on sport.  The Parliamentary Group on Betting and Gaming held a substantial inquiry into betting last year. It followed fears that a massive increase in betting on sport, such as that done using the internet and mobile phones, has led to more cheating. The all-party group recommended 15 ways to protect punters and improve the integrity of sports betting. They include a proposal for raising the maximum jail sentence for gambling cheats above the current two years. Lord Condon, head of the International Cricket Council's anti-corruption unit, who originally made the call for longer prison sentences, said the two-year penalty was ""derisory"". ""You could get a bigger sentence for failing to pay your hotel bill criminally than you could for corruption in major sports. ""Symbolically, a higher penalty, perhaps as the Bill passes through the two Houses, might be appropriate.""  The report recommended the governing bodies of sports have a say in the type of bets offered to punters, and for bookmakers to set up ""audit trails"" - something the new betting exchanges already do - to allow suspicious betting patterns to be traced.  Lord Faulkner of Worcester, who chaired the inquiry, said: ""Whilst we accept that the greater part of sports betting is neither corrupt nor unfair to punters, the evidence convinces us that the growth of betting exchanges - because of the facility they provide to bet against a result - has increased the potential for corruption. ""It is important that the government works with sporting administrators to review the difficulties faced by governing bodies in convicting the guilty and penalising them appropriately."" The panel's aim was to try to define what constitutes cheating, assess how much might be going on and suggest what the government might do to put it right. As well as the growth of internet and mobile phone betting, there has been the creation of betting exchanges which allow punters to fix odds between themselves. Betting exchanges allow punters to back (to win) but also lay (to lose) a horse. This means they can control their odds at winning by placing their money both ways. "
429	Lib Dems stress Budget trust gap	" Public trust in the handling of the economy can only be restored if Gordon Brown opens up his books for unbiased inspection, say the Lib Dems.  City experts say there is a £10bn ""black hole"" in the public finances, a claim denied by the chancellor. Lib Dem spokesman Vince Cable said the public did not know who to believe and the National Audit Office should judge. Responding to the pre-Budget report, Mr Cable also attacked Labour's ""unfair"" and over-complicated taxes.  In his report, Mr Brown insisted he was on course to meet his ""golden rule"" of borrowing only to invest, rather than for day-to-day spending, over the course of the economic cycle. Mr Cable said people did not know whether to believe the chancellor or the consensus among experts which said the rule would be broken. ""There is an issue of credibility and trust,"" he said. ""We cannot have a continuation of a situation where the chancellor sets his own tests and then marks them. ""What we need is the equivalent of a thorough Ofsted inspection of the government's accounts."" He asked what the government had to hide.  Mr Cable also accused the chancellor of ducking tough choices. He argued: ""There are serious challenges ahead from the falling dollar and from the rapid downturn in the UK housing market and rising personal debt. But they have not been confronted."" Mr Brown confirmed he was setting aside another £520m for the conflicts in Iraq and Afghanistan. Mr Cable compared that new cost with the £500m needed for Britain's role in the entire first Gulf War - when 80% of the bill had been met through help from European and Arab nations. He suggested keeping British troops in Iraq could cost another £1bn with the government also planning to spend at least £3bn for identity cards. The current economic climate meant Britain could not afford the ""reckless, George Bush-style tax cutting spree"" planned by the Tories, he said. Instead, what was needed was simple and fair taxation rather than the ""complete mess"" produced by Mr Brown's endless tinkering.  Mr Cable said 40% of all pensioners were now paying marginal tax rates of 50%. And one-and-a-half million hard working families were paying 60% marginal tax rates. With that record, he asked why ministers attacked Lib Dem plans for a new 50% tax rate for the ""very rich"" - those earning more than £100,000 a year. Mr Brown earmarked £1bn to help keep down council tax rises next year. But the Lib Dem spokesman questioned whether that money was being found from cuts to education and health. He urged the government to scrap the ""grossly unfair"" tax completely. The Lib Dems want it replaced with a local income tax. In response, Mr Brown stressed the Iraq money came from a reserve funds. It was because he had rejected previous Lib Dem proposals, such as scrapping the New Deal, that Britain's economy was successful, claimed Mr Brown. "
430	Online commons to spark debate	" Online communities set up by the UK government could encourage public debate and build trust, says the Institute of Public Policy Research (IPPR).  Existing services such as eBay could provide a good blueprint for such services, says the think-tank. Although the net is becoming part of local and central government, its potential has not yet been fully exploited to create an online ""commons"" for public debate. In its report, Is Online Community A Policy Tool?, the IPPR also asks if ID cards could help create safer online communities. Adopting an eBay-type model would let communities create their own markets for skills and services and help foster a sense of local identity and connection. ""What we are proposing is a civic commons,"" Will Davies, senior research fellow at the IPPR told the BBC News website. ""A single publicly funded and run online community in which citizens can have a single place to go where you can go to engage in diversity and in a way that might have a policy implication - like a pre-legislation discussion.""  The idea of a ""civic commons"" was originally proposed by Stephen Coleman, professor of e-democracy at the Oxford Internet Institute. The IPPR report points to informal, small scale examples of such commons that already exist. It mentions good-practice public initiatives like the BBC's iCan project which connects people locally and nationally who want to take action around important issues.  But he adds, government could play a bigger role in setting up systems of trust for online communities too. Proposals for ID cards, for instance, could also be widened to see if they could be used online. They could provide the basis for a secure authentication system which could have value for peer-to-peer interaction online. ""At the moment they have been presented as a way for government to keep tabs on people and ensuring access to public services,"" said Mr Davies. ""But what has not been explored is how authentication technology may potentially play a role in decentralised online communities."" The key idea to take from systems such as eBay and other online communities is letting members rate each other's reputation by how they treat other members. Using a similar mechanism, trust and cooperation between members of virtual and physical communities could be built. This could mean a civic commons would work within a non-market system which lets people who may disagree with one another interact within publicly-recognised rules.  E-government initiatives over the last decade have very much been about putting basic information and service guides online as well as letting people interact with government via the web. Many online communities, such as chatrooms, mailing lists, community portals, message boards and weblogs often form around common interests or issues.  With 53% of UK households now with access to the net, the government, suggests Mr Davies, could act as an intermediary or ""middleman"" to set up public online places of debate and exchange to encourage more ""cosmopolitan politics"" and public trust in policy. ""Government already plays a critical role in helping citizens trade with each other online. ""But it should also play a role in helping citizens connect to one another in civic, non-market interactions,"" said Mr Davies. There is a role for public bodies like the BBC, libraries, and government to bring people back into public debate again instead of millions of ""cliques"" talking to each other, he added. The paper is part of the IPPR's Digital Society initiative which is producing a number of conferences and research papers leading up to the publication of A Manifesto For A Digital Britain. "
431	Xbox 2 may be unveiled in summer	" Details of the next generation of Microsoft's Xbox games console - codenamed Xenon - will most likely be unveiled in May, according to reports.  It was widely expected that gamers would get a sneak preview of Xbox's successor at the Game Developers Conference (GDC) in March. But a Microsoft spokeswoman confirmed that it would not be at GDC. Sony, Microsoft and Nintendo are all expected to release their more powerful machines in the next 18 months. The next Xbox console is expected to go on sale at the end of the year, but very few details about it have been released. It is thought that the machine may be unveiled at the Electronic Entertainment Expo (E3) in Los Angeles, which takes place in May, according to a Reuters news agency report. E3 concentrates on showing off the latest in gaming to publishers, marketers and retailers. The GDC is aimed more at game developers. Microsoft chief, Bill Gates, used the GDC event to unveil the original Xbox five years ago. Since its launch, Microsoft has sold 19.9 million units worldwide.  At the Consumer Electronics Show earlier this year, there was very little mention of the next generation gaming machine. In his keynote speech, Mr Gates only referred to it as playing an essential part of his vision of the digital lifestyle.  But the battle between the rival consoles to win gamers' hearts and thumbs will be extremely hard-fought. Sony has traditionally dominated the console market with its PlayStation 2. But earlier this year, Microsoft said it had reached a European milestone, selling five million consoles since its European launch in March 2002. Hit games like Halo 2, which was released in November, helped to buoy the sales figures.  Gamers are looking forward to the next generation of machines because they will have much more processing and graphical power.  They are also likely to pack in more features and technologies that make them more central as entertainment and communications hubs. Although details of PlayStation 3, Xenon, and Nintendo's so-called Revolution, are yet to be finalised, developers are already working on titles. Rory Armes, studio general manager for games giant Electronic Arts (EA) in Europe, recently told the BBC News website in an interview that EA was beginning to get a sense of the capabilities of the new machines. Microsoft had delivered development kits to EA, but he said the company was still waiting on Sony and Nintendo's kits. But, he added, the PlayStation 3 was rumoured to have ""a little more under the hood [than Xbox 2]"". "
432	US seeks new $280bn smoker ruling	" The US Justice Department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms.  Earlier this month, a three-judge appeal court panel rejected the claim - filed in 1999 by the administration of Bill Clinton - in a 2-1 decision. Government lawyers said they would ask the full US Court of Appeals for the District of Columbia to hear the case. The court room battle is seen as key in government attempts to fight smoking. ""It's pretty clear that they've suffered a severe setback,"" said Anthony Sebok, a professor at Brooklyn Law School, adding that the appeal was what the government ""would be expected to ask for"".  Prosecutors had argued that tobacco firms lied about the dangers of smoking, ignored research that highlighted problems, looked to increase addiction by manipulating nicotine levels and targeted the young with their adverts. Among the firms accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson. Prosecutors went after the companies using legislation put in place to fight organised crime, and accused the firms of conspiring and running ""Racketeer Influenced and Corrupt Organisations"". The tobacco companies denied the charges, saying that they never illegally conspired to promote smoking and fool the public. They also said that they have met many of the government's demands laid out in a landmark $206bn settlement hammered out in 1998 with 46 states. A three-judge panel agreed with the companies, finding that the case could not be brought under federal anti-racketeering laws.  Central to the government's case was a meeting in the Plaza Hotel, New York, on 15 December, 1953. Prosecutors contend that executives from the major tobacco firms met and agreed to present a unified strategy denying the harmful effects of smoking. Despite denying for decades that smoking could be linked to illness, the companies have modified their stances in recent years. Altria's Philip Morris now accepts that nicotine is harmful, and the company's main lawyer William Ohlemeyer told the BBC last year that earlier statements may have been wrong but they were not dishonest. Government lawyers have until 21 March to file their appeal. "
433	Finnan says Irish can win group	" Steve Finnan believes the Republic of Ireland can qualify directly for the World Cup finals.  After Saturday's superb display in the draw in Paris, Ireland face minnows the Faroe Islands in Dublin on Wednesday. The versatile Finnan, who starred against the French, is confident the group is Ireland's for the taking. ""There is a chance for us now to go on, win our home games and why not win the group, even though it's a tough one,"" said the Liverpool player. Switzerland, Ireland, France and Israel are all now tied on five points from three matches - although the Republic look to have a slight edge after claiming away draws in Basel and Paris. ""In Basel we did not play great football, but when you to go to these places the other teams are going to have the majority of the game. ""In Paris, we looked good throughout the team and a point was the least we deserved because we had a number of chances.  ""Looking back, we had an opportunity to get the three points, but we are happy with a point and that will give us confidence going into Wednesday's game. ""On paper, we have got the toughest matches out of the way and we have set standards for ourselves. ""Automatic qualification is there. It would certainly be good to avoid a play-off, but on the back of a couple of good results I don't see why we can't win the group."" Manager Brian Kerr was keen to mention the contribution of Stephen Carr and Finnan on Ireland's right flank at the Stade de France. Finnan's normal position is right-back but he looked assured in a more advanced position against the French. ""As I play on the right for my club and being a natural right-back, it was something he (Kerr) looked at because France play strongly down the left-hand side. ""So I was happy to play and Stephen Carr and I enjoyed the game, particularly as the defence and midfield held together well and nullified their attacks."" "
434	Newry to fight cup exit in courts	" Newry City are expected to discuss legal avenues on Friday regarding overturning their ejection from the Nationwide Irish Cup.  The IFA upheld its original decision to throw Newry out of the cup following the Andy Crawford registration row. ''A law firm will put a case forward for Newry FC, and see what the legal implications of all this is are,'' said Newry boss Roy McCreadie. ''This is a big issue, now that we have an appeal pending,'' On Wednesday, a fresh IFA hearing into Crawford registration saga, ruled that last week's original verdict had been correct. It meant that Bangor, beaten 5-1 by Newry on the field, will take on Portadown in the sixth round. Newry had claimed they had uncovered ""fresh evidence"", in respect of the dates relating to the registration. But McCreadie is not further annoyed that full details of Wednesday's meeting was not relayed to the club. ''Even to this day, we have as much information about what happened during the meeting on Wednesday as that told to the media. We are being kept in the dark,'' McCreadie told the  News Letter  . ''We want an explanation. There is no good sending us the same fax message the press people received. ''It's a real sad case. If we are not back in the Irish Cup after our appeal, and guided by our legal advise, we will seek to lodge an injunction in the courts to stop Bangor playing Portadown.'' "
435	A decade of good website design	" The web looks very different today than it did 10 years ago.  Back in 1994, Yahoo had only just launched, most websites were text-based and Amazon, Google and eBay had yet to appear. But, says usability guru Dr Jakob Nielsen, some things have stayed constant in that decade, namely the principles of what makes a site easy to use. Dr Nielsen has looked back at a decade of work on usability and considered whether the 34 core guidelines drawn up back then are relevant to the web of today. ""Roughly 80% of the things we found 10 years ago are still an issue today,"" he said. ""Some have gone away because users have changed and 10% have changed because technology has changed.""  Some design crimes, such as splash screens that get between a user and the site they are trying to visit, and web designers indulging their artistic urges have almost disappeared, said Dr Nielsen.  ""But there's great stability on usability concerns,"" he told the BBC News website. Dr Nielsen said the basic principles of usability, centring around ease of use and clear thinking about a site's total design, were as important as ever. ""It's necessary to be aware of these things as issues because they remain as such,"" he said. They are still important because the net has not changed as much as people thought it would. ""A lot of people thought that design and usability was only a temporary problem because broadband was taking off,"" he said. ""But there are a very small number of cases where usability issues go away because you have broadband.""  Dr Nielsen said the success of sites such as Google, Amazon, eBay and Yahoo showed that close attention to design and user needs was important. ""Those four sites are extremely profitable and extremely successful,"" said Dr Nielsen, adding that they have largely defined commercial success on the net.  ""All are based on user empowerment and make it easy for people to do things on the internet,"" he said. ""They are making simple but powerful tools available to the user. ""None of them have a fancy or glamorous look,"" he added, declaring himself surprised that these sites have not been more widely copied. In the future, Dr Nielsen believes that search engines will play an even bigger part in helping people get to grips with the huge amount of information online. ""They are becoming like the operating system to the internet,"" he said. But, he said, the fact that they are useful now does not meant that they could not do better. Currently, he said, search sites did not do a very good job of describing the information that they return in response to queries. Often people had to look at a website just to judge whether it was useful or not. Tools that watch the behaviour of people on websites to see what they actually find useful could also help refine results. Research by Dr Nielsen shows that people are getting more sophisticated in their use of search engines. The latest statistics on how many words people use on search engines shows that, on average, they use 2.2 terms. In 1994 only 1.3 words were used. ""I think it's amazing that we have seen a doubling in a 10-year period of those search terms,"" said Dr Nielsen.  You can hear more from Jakob Nielsen and web design on the BBC World Service programme, Go Digital "
436	Corry backs skipper Robinson	" England forward Martin Corry says Jason Robinson is the right man to lead the national team back to winning ways.  After losses to Wales and France, critics have started to wonder whether Robinson can captain from full-back. But Corry has backed Robinson, who was given the role after the injury to fly-half Jonny Wilkinson, ahead of this weekend's trip to Ireland. ""Jason is doing a tremendous job. Every week my respect for him goes up,"" Corry told BBC Radio Five Live. ""He is an inspirational captain. When he talks with the squad he talks with a lot of sense. ""The players have a lot of respect for him. It's an honour to be in the England side and an honour to play under him.""  England are under immense pressure following their poor start to the year and victory is vital if they are to rescue their Six Nations campaign. But Corry insists England are in the right frame of mind for the contest. ""There is apprehension going into every game,"" he added. ""But you have to use that fear and put it into a positive mindset. ""When the whistle goes on Sunday, what has happened in the past does not count for anything.  ""We have not performed but if we put in a performance on Sunday then we can start turning results around. ""There are a lot of changes taking place with England and we are at the start of something. We have not got off to the greatest of starts but you need to experience the bad the before you can fully appreciate the good.""  A trip to Lansdowne Road is daunting at any time, especially against an Ireland side that are flying high after two impressive wins. They are the form team of the tournament and are tipped to claim their first Grand Slam since 1948. But Corry is relishing the prospect of taking on the Irish in their own backyard. ""They are full of confidence and are playing a great team game,"" he said. ""The forwards are creating a great platform and they have explosive runners out wide. ""If you look at the team on paper, they have stars from one to 15. It's a huge task but it is a great opportunity for us. ""Lansdowne Road is a tremendous venue to play in and we have to use it to our advantage."" "
437	DVD review: Spider-Man 2	 It's a universal rule that a film can either be a superhero special effects extravaganza or it can be good. But Spider-Man 2 breaks that rule in two.  It's not fantastically deep but you get quickly drawn into the tale of Spidey versus Doc Ock and more so into the fate of poor Peter Parker. Gigantic action set pieces seamlessly work with more brooding personal torment and it all looks stunning. A few effects look false but Tobey Maguire, Kirsten Dunst and Alfred Molina make this compelling. The other universal rule is that DVDs of superhero films will have Making Of features only about the effects. This disc covers those special effects enough but as just one part of a detailed look at the film. Then there are commentaries, trailers and a blooper reel.  Sometimes quality comes in bulk: this set contains no less than 34 John Wayne films ranging from the Westerns and war movies to The Quiet Man.  Now is that a Christmas present or what? Give this to someone on 24 December and you won't see them again until early in the New Year. It's not truly a complete collection and leans more toward Wayne's earlier films: there's no True Grit, for instance, though there is Hellraisers. The films look well transferred to DVD, though none has extras.  It was very daft but it knew it was and somehow this famous 1979 series became a cult favourite that's been long awaited on DVD. This set has the first season of Buck (Gil Gerard) and Wilma's (Erin Gray) tongue-in-cheek adventures and it's all as camp and gaudy as you remember. But it's also a disappointment. The US DVD has this and the more po-faced second season - and you can import it for just about the same price. The bigger omission, though, is that there are no extras. That's particularly disappointing because originally there were meant to be commentaries and stars Gerard and Gray had agreed to do them. 
438	REM concerts blighted by illness	" US rock band REM have been forced to cancel concerts after bass player Mike Mills was taken to hospital suffering from ""severe flu-like symptoms"".  The band were forced to cut short Monday night's show in Sheffield, and have cancelled Tuesday's Glasgow date. Mills could ""hardly stand up, let alone play"", said an REM spokesman, who added he is now ""resting"" in hospital. The remainder of the band played a short acoustic set on Monday. Tuesday's gig has been rescheduled for 15 June. Those who had a ticket for the show in Glasgow are being advised to retain their ticket stub so they can attend the new date. The band's spokesman said that they would review their remaining dates on a ""day-to-day basis"", based on doctors' advice to Mills. ""Obviously we all want Mike to get better, and clearly we all want to play the shows. Rest assured we will do so as soon as possible,"" he said.  The band were still hopeful they would be able to make their Wednesday date, added the spokesman. REM played accoustic versions of their hits Losing My Religion, I've Been High, Leaving New York and The One I Love to the Sheffield Arena audience on Monday. The band had originally been scheduled to play four dates in the UK as part of a world tour. In 1995 former drummer Bill Berry collapsed in Switzerland while the band was on tour, having suffered a ruptured aneurysm. He made a full recovery, only to leave the band two years later. "
439	Dozens held over ID fraud site	" Twenty-eight people, including a Briton, have been arrested after a global operation against a website allegedly involved in identity fraud.  Those arrested are accused of operating Shadowcrew.com, which investigators claim was a global clearing house for criminals involved in credit card fraud. A 19-year-old man from Camberley, Surrey, was arrested by the National Hi-Tech Crime Unit but has been bailed. Operation Firewall, led by the US Secret Service, involved seven nations. The British teenager was arrested on Wednesday but details only emerged on Friday. He has now been bailed to return to a Surrey police station in December. All 28 people detained globally are suspected of being involved in an internet-based network which stole people's identities and used computers and websites to defraud credit card companies. The authorities in the US, who have indicted 19 people in Newark, New Jersey, estimate the fraud caused losses of more than $4m. Assistant US Attorney Scott Christie said several people had been arrested in Argentina, Bulgaria, Canada, Estonia, Poland and Sweden. Mr Christie said one of the ringleaders was believed to be a Russian, Anatoly Tyukanov.  Investigators from 30 law enforcement agencies worldwide spent 15 months looking into the activities of three websites - Shadowcrew, Carderplanet and Darkprofits. The US Secret Service was first tipped off in July 2003. An NHTCU spokeswoman said the American investigators went undercover on the Shadowcrew website and discovered some of the site's 4,000 members were using it for organised crime purposes.  She said criminals were using the websites to traffic counterfeit credit cards and false identification information and documents such as credit cards, driver's licences, passports and birth certificates. The websites shared tips on how to commit fraud and provided a forum by which people could buy the information and tools they needed to commit such crime, she said. The Shadowcrew site, which has now been taken over by the US Secret Service, listed several discussion groups, in English and Russian, including one on hacking, spam and online anonymity tools. The head of the NHTCU, Acting Detective Chief Superintendent, Mick Deats, said: ""This investigation has resulted in the significant disruption of organised criminals using the internet for profit.  ""We believe that the suspects have trafficked at least 1.7 million stolen credit card numbers, leading to losses by financial institutions running into the millions."" Chief Supt Deats went on to warn: ""The internet offers huge legitimate benefits for modern society; however with it brings powerful opportunities for those seeking to abuse those benefits for criminal gain. ""Your identity is one of the most precious commodities. Criminals who try to steal the personal and financial information of ordinary citizens as well as the confidential and proprietary information of companies engaged in e-commerce, will be targeted by law enforcement."" "
